arrStationName,arrTime,dptDate,dptStationName,dptTime,interval,seats,trainNo
香港西九龙,09:14,2019-02-07,广州南,08:05,1小时9分,"{'商务座': {'price': 432, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6547
香港西九龙,11:53,2019-02-07,广州南,10:53,1小时,"{'商务座': {'price': 432, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6517
香港西九龙,13:29,2019-02-07,广州南,12:13,1小时16分,"{'商务座': {'price': 432, 'count': 16, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6541
香港西九龙,15:46,2019-02-07,广州南,15:00,46分,"{'商务座': {'price': 432, 'count': 3, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6535
香港西九龙,18:22,2019-02-07,广州南,17:35,47分,"{'商务座': {'price': 432, 'count': 16, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 187, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}, '一等座': {'price': 261, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6537
香港西九龙,08:29,2019-02-07,广州南,07:23,1小时6分,"{'商务座': {'price': 452, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6505
香港西九龙,08:56,2019-02-07,广州南,07:55,1小时1分,"{'商务座': {'price': 452, 'count': 14, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6515
香港西九龙,09:29,2019-02-07,广州南,08:30,59分,"{'商务座': {'price': 452, 'count': 17, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 2, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}}",G6523
香港西九龙,10:14,2019-02-07,广州南,08:56,1小时18分,"{'商务座': {'price': 452, 'count': 16, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 100, 'enable': True, 'seatMap': {'ticketNumStatus': 2}}}",G6531
香港西九龙,10:22,2019-02-07,广州南,09:22,1小时,"{'商务座': {'price': 452, 'count': 12, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}, '二等座': {'price': 215, 'count': 0, 'enable': True, 'seatMap': {'ticketNumStatus': 3}}, '一等座': {'price': 323, 'count': 19, 'enable': True, 'seatMap': {'ticketNumStatus': 1}}}",G6539
